Easting,Northing,Moisture,Yield
592331.875,4267866.500,11.0,6896
592332.500,4267866.500,11.0,5672
592333.188,4267866.500,10.9,6362
592333.875,4267866.500,10.7,6272
592334.500,4267866.500,10.7,6432
592334.500,4267866.500,11.0,5470
592335.188,4267866.500,11.0,5636
592335.875,4267866.500,11.1,4810
592336.500,4267866.500,10.8,6046
592337.188,4267866.500,10.8,5219
592337.813,4267866.500,11.0,5153
592337.813,4267866.500,10.9,6237
592338.500,4267866.500,10.9,5568
592339.188,4267866.500,10.6,5943
592339.813,4267866.500,10.9,5074
592340.500,4267866.500,11.0,6203
592341.188,4267866.500,11.0,6719
592341.188,4267866.500,11.0,5233
592341.813,4267866.500,10.6,6035
592342.500,4267866.500,10.9,5534
592343.188,4267866.500,11.0,5144
592343.813,4267866.500,11.0,5792
592343.813,4267866.500,11.0,6516
592344.500,4267866.500,10.6,5741
592345.125,4267866.500,11.0,4482
592345.813,4267866.500,11.0,5048
592346.500,4267866.500,11.0,5507
592347.125,4267866.500,11.1,5579
592347.125,4267866.500,10.8,5199
592347.813,4267866.500,10.8,4794
592348.500,4267866.500,11.0,4936
592349.125,4267866.500,10.9,5046
592349.813,4267866.500,11.0,6696
592350.500,4267866.500,10.6,6255
592351.125,4267866.500,10.8,5184
592351.125,4267866.500,11.1,5957
592351.813,4267866.500,11.0,6736
592352.438,4267866.500,11.1,5821
592353.125,4267866.500,10.9,6028
592353.813,4267866.500,10.9,4996
592353.813,4267866.500,11.0,5919
592354.438,4267866.500,11.1,6356
592355.125,4267866.500,11.0,6203
592355.813,4267866.500,10.8,6783
592356.438,4267866.500,10.9,6128
592357.125,4267866.500,11.0,7065
592357.125,4267866.500,11.0,8281
592357.813,4267866.500,10.7,5072
592358.438,4267866.500,10.7,5376
592359.125,4267866.500,11.0,5816
592359.750,4267866.500,10.8,5227
592360.438,4267866.500,11.0,5379
592361.125,4267866.500,10.8,4521
592361.125,4267866.500,10.6,5238
592361.750,4267866.500,10.9,5316
592362.438,4267866.500,11.0,5069
592363.125,4267866.500,11.0,4493
592363.750,4267866.500,11.0,3954
592363.750,4267866.500,10.6,4150
592364.438,4267866.500,10.8,5436
592365.125,4267866.500,10.8,5419
592365.750,4267866.500,10.9,4591
592366.438,4267866.500,11.0,6252
592366.438,4267866.500,10.7,5445
592367.063,4267866.500,10.6,4157
592367.750,4267866.500,10.7,4866
592368.438,4267867.000,10.8,4665
592369.063,4267867.000,10.8,4913
592369.750,4267867.000,10.8,4537
592370.438,4267867.000,10.8,5320
592370.438,4267867.000,10.6,5457
592371.063,4267867.000,10.5,5209
592371.750,4267867.000,10.7,5116
592372.438,4267867.000,10.7,6143
592373.063,4267867.000,10.7,6283
592373.750,4267867.000,10.7,6624
592373.750,4267867.000,10.5,6122
592374.375,4267867.000,10.7,6250
592375.063,4267867.000,10.8,6033
592375.750,4267867.000,10.7,5314
592376.375,4267867.000,10.8,4846
592376.375,4267867.000,10.7,4333
592377.063,4267867.000,10.5,4619
592377.750,4267867.000,10.7,3984
592378.375,4267867.000,10.7,3563
592379.063,4267867.000,10.6,3824
592379.750,4267867.000,10.7,4173
592379.750,4267867.000,10.3,4247
592380.375,4267867.000,10.4,3545
592381.063,4267867.000,10.6,4062
592381.688,4267867.000,10.5,4234
592382.375,4267867.000,10.6,3818
592383.063,4267867.000,10.2,3904
592383.063,4267867.000,10.4,4150
592383.688,4267867.000,10.6,3933
592384.375,4267867.000,10.5,3615
592385.063,4267867.000,10.7,4115
592385.688,4267867.000,10.5,3109
592385.688,4267867.000,10.4,2463
592386.375,4267867.000,10.5,3086
592387.063,4267867.000,10.5,2694
592387.688,4267867.000,10.5,3396
592388.375,4267867.000,10.3,3358
592388.375,4267867.000,10.2,3267
592389.000,4267867.000,10.5,2878
592389.688,4267867.000,10.5,2507
592390.375,4267867.000,10.5,3315
592391.000,4267867.000,10.5,3205
592391.688,4267867.000,10.1,3431
592391.688,4267867.000,10.2,3572
592392.375,4267867.000,10.4,4539
592393.000,4267867.000,10.4,2937
592393.688,4267867.000,10.5,3985
592394.375,4267867.000,10.3,3149
592395.000,4267867.000,10.3,3448
592395.000,4267867.000,10.5,4994
592395.688,4267867.000,10.5,3112
592396.313,4267867.000,10.4,3319
592397.000,4267867.000,10.5,4281
592397.688,4267867.000,10.7,3250
592398.313,4267867.000,10.7,4300
592398.313,4267867.000,10.6,3929
592399.000,4267867.000,10.4,4042
592399.688,4267867.000,10.5,3351
592400.313,4267867.000,10.7,2614
592401.000,4267867.000,10.7,3563
592401.688,4267867.000,10.7,3399
592401.688,4267867.000,10.5,2979
592402.313,4267867.000,10.5,3718
592403.000,4267867.000,10.7,2914
592403.688,4267867.000,10.6,2482
592404.313,4267867.000,10.7,3275
592405.000,4267867.000,10.5,2406
592405.000,4267867.000,10.3,3767
592405.625,4267867.000,10.5,3341
592406.313,4267867.000,10.7,3558
592407.000,4267867.000,10.6,3462
592407.625,4267867.000,10.6,2353
592408.313,4267867.000,10.3,3509
592408.313,4267867.000,10.5,5068
592409.000,4267867.000,10.6,3247
592409.625,4267867.000,10.6,4581
592410.313,4267867.000,10.2,5594
592411.000,4267867.000,10.4,4166
592411.625,4267867.500,10.6,5365
592411.625,4267867.500,10.8,5067
592412.313,4267867.500,10.6,4039
592412.938,4267867.500,10.5,4940
592413.625,4267867.500,10.4,3125
592414.313,4267867.500,10.5,2931
592414.938,4267867.500,10.5,3746
592414.938,4267867.500,10.5,3082
592415.625,4267867.500,10.5,3581
592416.313,4267867.500,10.3,2396
592416.938,4267867.500,10.2,2471
592417.625,4267867.500,10.5,3371
592418.313,4267867.500,10.4,3220
592418.938,4267867.500,10.5,4328
592418.938,4267867.500,10.2,5403
592419.625,4267867.500,10.1,5389
592420.250,4267867.500,10.5,5178
592420.938,4267867.500,10.6,5136
592421.625,4267867.500,10.6,4175
592422.250,4267867.500,10.5,4123
592422.250,4267867.500,10.3,5215
592422.938,4267867.500,10.5,4517
592423.625,4267867.500,10.7,4720
592424.250,4267867.500,10.5,4311
592424.938,4267867.500,10.5,5104
592425.625,4267867.500,10.4,4070
592425.625,4267867.500,10.5,4165
592426.250,4267867.500,10.7,4461
592426.938,4267867.500,10.7,4764
592427.563,4267867.500,10.5,3983
592428.250,4267867.500,10.4,4771
592428.938,4267867.500,10.5,5015
592428.938,4267867.500,10.6,5683
592429.563,4267867.500,10.7,4309
592430.250,4267867.500,10.4,3521
592430.938,4267867.500,10.3,3363
592431.563,4267867.500,10.5,4455
592431.563,4267867.500,10.5,3778
592432.250,4267867.500,10.5,4053
592432.938,4267867.500,10.3,3821
592433.563,4267867.500,10.2,3776
592434.250,4267867.500,10.4,4810
592434.875,4267867.500,10.4,4959
592434.875,4267867.500,10.6,3899
592435.563,4267867.500,10.5,4654
592436.250,4267867.500,10.2,3588
592436.875,4267867.500,10.5,4532
592437.563,4267867.500,10.7,5150
592438.250,4267867.500,10.6,4646
592438.250,4267867.500,10.6,4812
592438.875,4267867.500,10.4,4116
592439.563,4267867.500,10.5,3608
592440.250,4267867.500,10.6,4707
592440.875,4267867.500,10.5,4994
592441.563,4267867.500,10.4,4716
592441.563,4267867.500,10.2,4943
592442.188,4267867.500,10.4,5065
592442.875,4267867.500,10.4,5561
592443.563,4267867.500,10.4,5620
592444.188,4267867.500,10.4,4807
592444.188,4267867.500,10.2,4993
592444.875,4267867.500,10.5,5854
592445.563,4267867.500,10.6,4759
592446.188,4267867.500,10.7,6245
592446.875,4267867.500,10.7,7712
592447.563,4267867.500,10.5,5317
592447.563,4267867.500,10.6,6834
592448.875,4267867.500,10.7,5344
592448.875,4267867.500,10.7,5533
592449.500,4267867.500,10.9,5930
592450.188,4267867.500,10.5,5224
592450.875,4267867.500,10.6,5136
592451.500,4267867.500,10.8,4903
592452.188,4267867.500,10.8,4756
592452.188,4267867.500,10.8,4917
592452.875,4267867.500,10.6,4695
592453.500,4267867.500,10.6,3734
592454.188,4267867.500,10.8,3846
592454.875,4267868.000,10.7,3950
