Easting,Northing,Yield,Moisture,Time
592393.3471,4270392.377,1142.560396,10.2,838234367
592392.6502,4270392.369,1842.267926,10.2,838234368
592391.9533,4270392.361,1546.532951,10.4,838234369
592391.2565,4270392.353,2006.074171,10.4,838234370
592390.6467,4270392.346,2432.978416,10.3,838234371
592389.9499,4270392.337,2176.409783,10.3,838234372
592388.5561,4270392.321,587.6056931,10.8,838234374
592387.0753,4270392.304,686.0819263,11,838234376
592386.2913,4270392.295,2055.00402,11.4,838234377
592385.5073,4270392.286,2891.157296,11.6,838234378
592384.7234,4270392.277,3389.511019,11.2,838234379
592383.8523,4270392.267,4098.959223,11.3,838234380
592382.9812,4270392.257,4038.821626,11.4,838234381
592382.1101,4270392.247,2972.860163,11.2,838234382
592381.239,4270392.237,2577.125545,11.1,838234383
592380.368,4270392.227,2521.90203,11.3,838234384
592379.4969,4270392.217,7171.634776,11.3,838234385
592378.5387,4270392.206,4360.331245,11.3,838234386
592377.6676,4270392.196,4824.455071,11.1,838234387
592376.7094,4270392.185,3949.883675,11.1,838234388
592375.7512,4270392.174,3291.449875,10.9,838234389
592374.7059,4270392.162,3083.58821,11.1,838234390
592373.7478,4270392.15,3150.513865,11.1,838234391
592372.7896,4270392.139,3508.664767,11.1,838234392
592371.7443,4270392.127,3285.079075,11.4,838234393
592370.7861,4270392.116,3365.256915,11.2,838234394
592369.8279,4270392.105,2875.871475,11.3,838234395
592368.7826,4270392.093,2655.429168,11.7,838234396
592366.7791,4270392.07,836.0023211,11.4,838234398
592365.7338,4270392.058,3333.756158,11.2,838234399
592364.6885,4270392.046,4373.842009,11.1,838234400
592363.7303,4270392.035,4820.37924,10.8,838234401
592362.685,4270392.023,4867.683836,11.1,838234402
592361.6397,4270392.011,5225.868547,10.9,838234403
592360.6815,4270392,5143.259413,11.1,838234404
592359.6362,4270391.988,4895.996446,10.9,838234405
592358.5909,4270391.976,5166.933795,11.1,838234406
592357.6328,4270391.964,5119.418592,11,838234407
592356.5875,4270391.952,5254.804696,10.9,838234408
592355.6293,4270391.941,5760.923764,10.7,838234409
592354.584,4270391.929,4907.285116,10.8,838234410
592353.5387,4270391.917,5480.619351,11.1,838234411
592352.5805,4270391.906,5374.204471,11,838234412
592351.5352,4270391.894,4885.006555,11.1,838234413
592350.4899,4270391.882,5208.27303,11.2,838234414
592349.5317,4270391.871,5421.766277,10.9,838234415
592348.4864,4270391.859,5538.378958,10.9,838234416
592347.4411,4270391.847,5226.013227,10.9,838234417
592346.4829,4270391.836,4560.337115,10.9,838234418
592345.4376,4270391.824,5139.060099,10.9,838234419
592344.3923,4270391.812,5813.272375,10.9,838234420
592343.4341,4270391.801,4838.474888,11,838234421
592342.3888,4270391.789,4879.232315,11.1,838234422
592341.3435,4270391.776,5469.008519,11,838234423
592340.3854,4270391.765,5046.854134,11.3,838234424
592339.3401,4270391.753,4637.266352,11.2,838234425
592338.2948,4270391.741,4843.183914,10.7,838234426
592337.3366,4270391.73,5109.845322,10.7,838234427
592336.3784,4270391.719,5331.928789,10.7,838234428
592335.4202,4270391.708,4122.728666,11,838234429
592334.462,4270391.697,2921.917103,11.1,838234430
592333.5038,4270391.686,2178.082356,11.2,838234431
592332.5456,4270391.675,2067.622465,11.4,838234432
592331.5874,4270391.664,2586.921309,11.9,838234433
592330.6293,4270391.653,3315.369392,12.2,838234434
592329.6711,4270391.642,4113.969733,12.1,838234435
592328.6258,4270391.63,4533.446956,11.2,838234436
592327.5805,4270391.618,5752.506462,10.9,838234437
592326.5352,4270391.606,6493.271882,10.9,838234438
592325.577,4270391.595,6734.555848,11,838234439
592324.5317,4270391.583,6780.801725,11,838234440
592323.4864,4270391.57,6950.463039,10.9,838234441
592322.4411,4270391.558,5747.375248,10.8,838234442
592321.3958,4270391.546,5810.378761,10.9,838234443
592320.4376,4270391.535,5684.215851,10.7,838234444
592319.3923,4270391.523,5191.197129,10.7,838234445
592318.347,4270391.511,5974.226864,10.7,838234446
592317.3017,4270391.499,6039.243286,10.7,838234447
592316.1693,4270391.486,5826.128917,10.5,838234448
592315.0369,4270391.473,5157.813639,10.7,838234449
592313.9045,4270391.46,5178.431448,10.8,838234450
592312.7721,4270391.447,5744.98328,11.1,838234451
592311.6397,4270391.434,5655.719117,10.7,838234452
592310.5073,4270391.421,5531.64484,10.7,838234453
592309.2878,4270391.407,5935.106229,10.7,838234454
592308.1554,4270391.394,5810.811963,10.7,838234455
592307.023,4270391.381,5330.02414,10.7,838234456
592305.8034,4270391.366,5564.759102,10.5,838234457
592304.671,4270391.353,5067.350467,10.5,838234458
592303.5386,4270391.34,5704.65528,10.5,838234459
592302.4062,4270391.327,5558.541494,10.6,838234460
592301.2738,4270391.314,5726.84531,10.8,838234461
592300.0543,4270391.3,5065.856852,10.8,838234462
592298.9219,4270391.287,5778.485033,10.8,838234463
592297.7895,4270391.274,5394.556427,11,838234464
592296.6571,4270391.261,5019.381101,10.8,838234465
592295.5247,4270391.248,5804.304894,10.8,838234466
592294.3052,4270391.234,5831.491009,10.7,838234467
592293.1728,4270391.221,5783.649005,10.4,838234468
592292.0404,4270391.208,5526.475078,10.7,838234469
592290.908,4270391.195,5407.570563,10.7,838234470
592289.6885,4270391.181,5756.532361,10.9,838234471
592288.556,4270391.168,5076.184796,10.8,838234472
592287.4236,4270391.155,5554.456531,10.8,838234473
592286.2912,4270391.141,5614.361024,10.7,838234474
592285.0717,4270391.127,5540.942306,10.8,838234475
592283.9393,4270391.114,5474.777463,10.7,838234476
592282.8069,4270391.101,5211.779594,10.6,838234477
592281.6745,4270391.088,5847.000293,10.7,838234478
592280.455,4270391.074,5417.910086,10.7,838234479
592279.3226,4270391.061,5685.533531,10.8,838234480
592278.1902,4270391.048,5875.170573,10.9,838234481
592277.0578,4270391.035,5830.124756,10.8,838234482
592275.9254,4270391.022,5876.600507,10.8,838234483
