Longitude,Latitude,ECto30,ECto100,Easting,Northing
-121.935728,38.55449,30.8,54.7,592733.313,4267876.5
-121.935707,38.554491,30.8,54.9,592735.313,4267876.5
-121.935682,38.554491,30.8,54.7,592737.313,4267876.5
-121.935666,38.554491,31.7,54.7,592738.625,4267876.5
-121.935636,38.554491,32.8,57.4,592741.313,4267876.5
-121.935605,38.554491,35.4,59.7,592743.938,4267876.5
-121.935591,38.554491,37.9,65,592745.313,4267876.5
-121.935578,38.554491,38.4,65.2,592746.625,4267876.5
-121.935556,38.554491,37,63.1,592748.625,4267876.5
-121.935534,38.554491,36.9,62.1,592750.625,4267876.5
-121.935342,38.554491,31.1,58.3,592767.25,4267877
-121.935318,38.554491,29.9,57.9,592769.25,4267877
-121.935288,38.554492,30.8,60.3,592771.875,4267877.5
-121.935263,38.554492,30.8,60.3,592773.875,4267877.5
-121.935248,38.554492,32.4,60.4,592775.188,4267877.5
-121.935227,38.554493,33.9,57.4,592777.188,4267877.5
-121.935211,38.554492,36.1,58.6,592778.5,4267877.5
-121.935191,38.554492,35.6,60.9,592780.5,4267877.5
-121.935155,38.554491,32,59.3,592783.188,4267877
-121.935125,38.55449,30.7,60.9,592785.875,4267877
-121.93511,38.55449,31.7,62.3,592787.188,4267877
-121.935091,38.55449,34.1,59.5,592789.188,4267877
-121.935062,38.554491,34.8,57.5,592791.813,4267877
-121.935033,38.554492,33.6,60.8,592793.813,4267877.5
-121.935014,38.554493,33.5,64.5,592795.813,4267877.5
-121.934999,38.554493,31.2,62.1,592797.125,4267877.5
-121.93498,38.554493,30.6,56.5,592798.5,4267877.5
-121.934965,38.554494,31.3,58.7,592799.813,4267877.5
-121.934945,38.554493,32.5,60.4,592801.813,4267877.5
-121.934915,38.554493,34.1,60.8,592804.438,4267877.5
-121.934882,38.554493,34.6,62.7,592807.125,4267878
-121.934835,38.554493,34.1,64,592811.125,4267878
-121.934795,38.554493,32.5,59.5,592815.125,4267878
-121.934777,38.554493,30.9,53.4,592816.438,4267878
-121.934763,38.554493,34.2,54.3,592817.75,4267878
-121.934745,38.554493,34,56.3,592819.063,4267878
-121.934732,38.554493,33,58.5,592820.438,4267878
-121.934718,38.554493,32.7,60.2,592821.75,4267878
-121.934704,38.554493,32.1,58.5,592822.438,4267878
-121.934613,38.554491,29.8,-29,592830.375,4267877.5
-121.934534,38.554489,30.8,59.6,592837.688,4267877.5
-121.934509,38.554488,31.3,63.1,592839.688,4267877.5
-121.934472,38.554486,32.5,63.9,592843,4267877.5
-121.934448,38.554484,34.3,61.3,592845,4267877.5
-121.934436,38.554484,34.7,62.3,592846.375,4267877.5
-121.934421,38.554482,36.5,63.5,592847.688,4267877
-121.934398,38.554481,37.8,63.5,592849.688,4267877
-121.934384,38.55448,37.6,62.5,592850.313,4267877
-121.934373,38.554478,39.4,64.1,592851.688,4267876.5
-121.934363,38.554477,39.4,65.1,592852.313,4267876.5
-121.934352,38.554475,41.2,62.7,592853.688,4267876
-121.934339,38.554472,40.5,59.8,592854.313,4267876
-121.934329,38.55447,38.7,57.1,592855.688,4267876
-121.934316,38.554466,38.2,57.1,592856.375,4267875.5
-121.934288,38.554461,39.1,-29,592859,4267875
-121.934221,38.554438,44.6,-29,592865,4267872.5
-121.934215,38.554432,44.4,-29,592865.688,4267871.5
-121.934206,38.554088,36,-25,592866.813,4267833.5
-121.934203,38.55407,35.6,109.6,592866.813,4267831.5
-121.934202,38.554061,37.2,137.4,592866.813,4267830.5
-121.934201,38.554049,39.5,244.4,592866.875,4267829.5
-121.934201,38.554027,39.3,245.4,592866.875,4267827
-121.9342,38.554009,39.7,165,592867.563,4267824.5
-121.934201,38.554,37.6,217.1,592866.938,4267824
-121.934201,38.553989,36.9,244.8,592866.938,4267822.5
-121.934201,38.553966,39.6,160.9,592866.938,4267820
-121.934201,38.553942,40.6,67.3,592867,4267817.5
-121.934201,38.553923,39.6,84.7,592867,4267815.5
-121.934201,38.553911,40,82.4,592867.063,4267813.5
