Easting,Northing,Yield
592052.0625,4270748,1447
592049.375,4270748,1807
592046.75,4270748,2085
592037.5625,4270735,1674
592038.875,4270735,1203
592040.875,4270734.5,1042
592043.5625,4270735,954
592044.875,4270735,1103
592046.1875,4270735,954
592047.5625,4270734.5,1308
592049.5625,4270735,1275
592050.875,4270735,1325
592052.1875,4270735,1170
592054.875,4270735,1125
592055.5,4270735.5,1425
592056.875,4270735.5,1397
592058.1875,4270735.5,1708
592058.8125,4270735.5,1436
592060.1875,4270735.5,1336
592062.8125,4270735.5,1275
592064.8125,4270736,832
592066.125,4270736,1369
592067.5,4270736,1358
592068.8125,4270736,1719
592070.125,4270736,1464
592072.125,4270736,1558
592073.4375,4270736,1275
592074.8125,4270736,1380
592076.125,4270735.5,1314
592078.125,4270735.5,1380
592079.4375,4270736,1464
592080.75,4270736,1253
592082.125,4270736,1663
592086.75,4270736,1408
592090.0625,4270736,1380
592092.0625,4270736,1308
592093.375,4270736,1325
592098.6875,4270736,1552
592100.6875,4270736,1369
592106.6875,4270736.5,1441
592108,4270736.5,1425
592109.3125,4270736.5,1497
592110.6875,4270736.5,1430
592112,4270736.5,1386
592113.3125,4270736,1364
592116.6875,4270736,1253
592118.625,4270736,1968
592121.3125,4270736,1569
592122.625,4270736,1308
592124.625,4270736,1242
592129.3125,4270736,1087
592130.625,4270736,1358
592131.9375,4270736,1286
592134.625,4270735.5,1708
592135.9375,4270735.5,1769
592137.25,4270736,1752
592140.5625,4270735.5,1275
592141.9375,4270735.5,1003
592143.25,4270735.5,1120
592144.5625,4270735.5,1153
592145.9375,4270735.5,1491
592148.5625,4270735.5,1674
592149.875,4270735.5,1569
592151.25,4270735.5,1325
592153.875,4270735.5,1331
592157.875,4270736,1186
592160.5,4270736,1602
592161.875,4270735.5,1319
592163.1875,4270736,920
592163.875,4270736,1297
592163.875,4270736,3094
592163.875,4270736,2467
592164.5,4270736,2295
592165.1875,4270736.5,848
592166.5,4270736,471
592167.8125,4270736,588
592169.1875,4270736,782
592170.5,4270736,1053
592171.8125,4270736,1331
592172.5,4270736,1342
592173.8125,4270736,1303
592175.125,4270736,1863
592176.5,4270736,1658
592177.8125,4270736,1741
592179.125,4270736,1674
592180.4375,4270736.5,1652
592181.8125,4270736,1569
592183.125,4270736,1519
592184.4375,4270736,1192
592185.75,4270736,760
592187.125,4270736,881
592193.0625,4270736,1037
592195.75,4270736,2223
592195.75,4270736,2783
592197.75,4270736,2129
592198.375,4270736,2229
592198.375,4270736,1724
592199.0625,4270736,1802
592199.75,4270736,1231
592200.375,4270736,1796
592201.0625,4270736,1275
592201.75,4270736,1153
592201.75,4270736,1574
592202.375,4270736,1181
592203.75,4270736,1558
592205.0625,4270736,1486
592207.0625,4270736,1425
592208.375,4270736.5,1525
592214.375,4270736.5,1059
592216.375,4270736.5,1087
592220.3125,4270736.5,1464
592222.3125,4270736.5,1380
592224.3125,4270737,1297
592229.625,4270736.5,1087
592231.625,4270736.5,1358
592232.9375,4270736.5,1480
592234.3125,4270736.5,1131
592238.9375,4270736.5,1203
592240.25,4270736.5,1198
592241.625,4270736.5,1746
592242.9375,4270736.5,1669
592244.25,4270736.5,1342
592246.25,4270736.5,1475
592248.9375,4270736.5,931
592250.25,4270736.5,1153
592258.875,4270736.5,1358
592261.5625,4270737,1525
592262.875,4270736.5,1486
592263.5625,4270737,3127
592264.875,4270737,2766
592265.5,4270737,1724
592266.875,4270737,1159
592267.5,4270737,1286
592268.875,4270737,1658
592270.1875,4270737,1170
592271.5,4270736.5,1297
592274.1875,4270736.5,1236
592275.5,4270736,1253
592278.1875,4270736,1641
592278.8125,4270736,1990
592280.125,4270736,1203
592284.125,4270736,1497
592285.5,4270736,1818
592286.8125,4270736,1408
592288.125,4270736,1020
592288.8125,4270736,1098
592290.125,4270736.5,1031
592294.125,4270736.5,1020
592295.4375,4270736.5,1087
592299.4375,4270736.5,1270
592300.75,4270736.5,1076
592301.4375,4270736.5,1392
592302.75,4270736.5,1497
592307.375,4270736.5,1868
592308.75,4270736.5,1730
592312.75,4270736.5,1358
592316.0625,4270736.5,1574
592317.375,4270736.5,1491
592320,4270736.5,1574
592322,4270736.5,1386
592323.375,4270736.5,1319
592328,4270736.5,1785
592331.3125,4270736.5,1691
592334.625,4270737,1902
592338,4270737,1924
592340,4270736.5,1591
592341.9375,4270736.5,1469
592343.3125,4270736.5,1558
592344.625,4270736.5,1746
592345.3125,4270736.5,1857
592349.25,4270736.5,1752
592349.9375,4270736.5,1841
592351.25,4270736.5,1458
592355.9375,4270736.5,1519
592356.5625,4270736.5,1486
592359.9375,4270736.5,1270
592361.25,4270736.5,1508
592362.5625,4270736.5,1541
592365.875,4270736.5,1996
592367.1875,4270736.5,1663
592368.5625,4270736.5,1403
592369.875,4270736.5,1369
592371.1875,4270737,1502
592372.5625,4270736.5,1741
592374.5625,4270736.5,1209
592377.1875,4270736.5,1896
592378.5,4270737,1979
592381.8125,4270737,1746
592383.1875,4270737,1724
592387.125,4270737,1863
592391.125,4270736.5,1741
592392.5,4270736.5,1813
592393.8125,4270736.5,1602
592399.8125,4270736.5,1037
592401.75,4270736.5,527
592403.125,4270736.5,355
592405.125,4270736.5,355
592406.4375,4270736.5,1547
592410.4375,4270737,2001
592413.75,4270737,2029
592416.5,4270728.5,1375
592408.5,4270728.5,1198
592401.1875,4270728.5,1613
592395.875,4270728.5,904
592394.5625,4270728.5,1663
592385.9375,4270728.5,1574
592384.5625,4270728.5,1508
592377.9375,4270728.5,1270
592371.9375,4270728.5,1009
592362.6875,4270728,2600
592362,4270728,2212
592354.6875,4270728.5,1635
592349.375,4270728.5,1314
592347.375,4270728.5,954
592346.0625,4270729,992
592342.75,4270728.5,1247
592338.0625,4270729,2029
592332.75,4270728.5,1841
592330.0625,4270728.5,1497
592328.75,4270728.5,1358
592326.125,4270728.5,1386
592323.4375,4270728.5,1331
592320.8125,4270728.5,1015
592319.4375,4270728.5,931
592318.125,4270728.5,521
592314.125,4270728.5,1580
592312.8125,4270728.5,2062
592310.8125,4270728.5,1641
592308.1875,4270728.5,1680
592306.1875,4270728.5,1935
592304.8125,4270728.5,1153
592304.1875,4270728.5,1286
592302.8125,4270728.5,1502
592301.5,4270728.5,1436
592300.875,4270728.5,1336
592299.5,4270728.5,1475
592298.1875,4270728.5,1242
592297.5,4270728.5,1475
592295.5625,4270728.5,1635
592294.875,4270728.5,1347
592293.5625,4270728,1281
592292.875,4270728,1319
592291.5625,4270728,1325
592290.1875,4270728,1635
592288.875,4270728,1508
592288.25,4270728,1159
592286.875,4270728,1181
592284.25,4270728,1342
592282.9375,4270728,1519
592281.5625,4270728,1574
592280.25,4270728,1458
592277.5625,4270728,1602
592272.9375,4270728,1685
592272.25,4270728,1364
592270.9375,4270728.5,1159
592269.625,4270728,1087
592268.3125,4270728,1098
592266.9375,4270728.5,1741
592266.3125,4270728.5,1846
592264.9375,4270728.5,1392
592263.625,4270728.5,937
592262.3125,4270728.5,493
592261,4270728.5,299
592259.625,4270728.5,571
592256.9375,4270730,1009
592257,4270728,1830
592255.625,4270728,1153
592255,4270728,1613
592255,4270728,3049
592254.3125,4270728,1835
592253,4270728.5,1613
592252.3125,4270728.5,1702
592251.6875,4270728.5,1308
592251,4270728.5,1264
592250.3125,4270728.5,1447
592249.6875,4270728.5,998
592248.3125,4270728.5,1314
592247.6875,4270728.5,1719
592246.375,4270728.5,1968
592245,4270728.5,1586
