Easting,Northing,Yield
592174.688,4267716.000,83760
592174.625,4267722.000,114240
592174.562,4267728.000,115200
592174.500,4267733.500,50640
592174.438,4267738.000,57360
592174.375,4267742.500,95280
592174.312,4267748.000,102480
592174.250,4267755.000,89760
592174.188,4267760.000,75360
592174.125,4267765.500,68640
592174.062,4267771.000,88320
592105.250,4267858.000,57360
592105.375,4267846.500,20880
592105.375,4267843.000,38160
592105.438,4267839.500,34080
592105.500,4267833.000,57120
592105.562,4267827.500,64800
592105.625,4267824.000,166320
592105.750,4267810.500,69600
592105.875,4267803.000,50160
592105.250,4267796.500,53280
592105.312,4267792.500,74400
592105.438,4267783.000,97680
592105.500,4267774.500,64080
592105.562,4267770.000,185520
592105.688,4267762.500,98160
592105.750,4267755.000,98640
592105.812,4267747.000,154320
592105.938,4267739.500,56400
592106.000,4267733.000,67440
592106.062,4267728.000,41520
592106.125,4267723.500,86640
592106.188,4267718.500,137520
592106.250,4267713.000,60000
592106.312,4267707.500,109200
592106.375,4267701.500,100320
592174.500,4267503.000,86400
592174.438,4267508.500,100800
592174.375,4267514.000,24240
592174.250,4267520.500,60480
592174.875,4267527.000,72240
592174.812,4267533.000,66480
592174.688,4267540.000,65040
592174.625,4267545.500,68880
592174.562,4267551.000,70800
592174.500,4267557.500,86880
592174.438,4267562.000,99600
592174.438,4267566.500,120240
592174.312,4267576.000,90960
592174.125,4267590.000,45840
592174.000,4267603.500,84000
592173.812,4267620.000,91440
592173.625,4267633.500,104160
592173.562,4267640.000,131280
592173.500,4267644.000,98640
592173.438,4267649.000,142560
592173.438,4267653.000,81360
592173.375,4267656.000,146400
592173.250,4267666.000,78000
592173.812,4267678.000,80400
592173.688,4267686.500,98400
592173.625,4267692.000,83280
592172.875,4267700.000,183600
592172.750,4267708.500,78000
592172.688,4267717.500,103920
592172.562,4267727.000,108960
592172.438,4267735.500,181920
592173.000,4267746.000,78720
592172.938,4267752.500,77760
592172.875,4267757.500,106080
592172.125,4267767.500,142560
592171.938,4267783.000,86400
592171.750,4267798.500,85200
592172.250,4267813.000,71040
592172.125,4267821.500,157440
592172.062,4267825.500,207120
592172.000,4267832.500,58320
592171.250,4267838.500,99600
592171.188,4267844.000,166080
592171.812,4267850.500,82560
592171.750,4267857.500,46080
592171.688,4267863.000,49200
592102.062,4267846.000,61440
592102.125,4267838.500,48240
592102.250,4267830.000,84240
592102.312,4267820.000,57840
592102.438,4267810.500,136560
592102.562,4267802.500,100320
592101.938,4267796.000,59760
592102.062,4267789.000,58560
592102.125,4267780.000,135120
592102.312,4267765.000,51600
592102.438,4267755.500,133920
592102.562,4267745.500,185520
592102.688,4267730.000,46320
592102.875,4267715.000,81120
592103.000,4267703.000,85200
592103.188,4267689.500,104160
592103.312,4267675.500,83760
592103.438,4267666.000,96720
592103.562,4267657.500,84480
592103.625,4267649.000,97440
592103.688,4267642.500,150000
592103.750,4267637.500,83040
592103.812,4267633.000,57600
592103.938,4267626.000,62400
592104.000,4267620.000,120960
592104.062,4267611.500,135360
